zoneId;Attractivity:Work;Attractivity:Business;Attractivity:Otherhome;Attractivity:Education;Attractivity:Shopping;Attractivity:Leisure;Attractivity:Service;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Education_Occup;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Leisure_Walk;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Private_Business;Attractivity:Private_Visit
1;60;0;0;30;570;1030;220;0;0;0;0;0;0;60;0;0;0;0
2;130;0;0;30;210;370;290;0;0;0;0;0;0;45;0;0;0;0
3;90;0;0;20;80;120;90;0;0;0;0;0;0;35;0;0;0;0
4;110;0;0;20;810;770;330;0;0;0;0;0;0;25;0;0;0;0
5;150;0;0;40;1230;1830;700;0;0;0;0;0;0;25;0;0;0;0
6;270;0;0;90;750;1200;760;0;0;0;0;0;0;55;0;0;0;0
7;90;0;0;40;130;160;60;0;0;0;0;0;0;30;0;0;0;0
8;90;0;0;20;890;980;380;0;0;0;0;0;0;25;0;0;0;0
9;240;0;0;100;480;700;320;0;0;0;0;0;0;50;0;0;0;0
10;110;0;0;20;970;870;500;0;0;0;0;0;0;45;0;0;0;0
11;60;0;0;40;460;740;140;0;0;0;0;0;0;60;0;0;0;0
12;150;0;0;60;160;210;230;0;0;0;0;0;0;75;0;0;0;0
13;140;0;0;50;490;420;230;0;0;0;0;0;0;65;0;0;0;0
14;170;0;0;50;620;700;440;0;0;0;0;0;0;75;0;0;0;0
15;190;0;0;80;70;110;80;0;0;0;0;0;0;120;0;0;0;0
16;160;0;0;70;220;260;200;0;0;0;0;0;0;45;0;0;0;0
17;200;0;0;20;1300;3320;770;0;0;0;0;0;0;10;0;0;0;0
18;100;0;0;20;790;3080;670;0;0;0;0;0;0;5;0;0;0;0
19;280;0;0;20;180;760;330;0;0;0;0;0;0;40;0;0;0;0
20;10;0;0;0;90;60;50;0;0;0;0;0;0;0;0;0;0;0
21;90;0;0;40;470;660;290;0;0;0;0;0;0;45;0;0;0;0
22;200;0;0;90;90;1110;530;0;0;0;0;0;0;20;0;0;0;0
23;120;0;0;70;170;410;290;0;0;0;0;0;0;10;0;0;0;0
24;10;0;0;0;10;70;0;0;0;0;0;0;0;0;0;0;0;0
25;240;0;0;20;3020;7570;1490;0;0;0;0;0;0;0;0;0;0;0
