zoneId;Attractivity:Work;Attractivity:Business;Attractivity:Otherhome;Attractivity:Education;Attractivity:Shopping;Attractivity:Leisure;Attractivity:Service;Attractivity:Education_Primary;Attractivity:Education_Secondary;Attractivity:Education_Tertiary;Attractivity:Education_Occup;Attractivity:Leisure_Indoor;Attractivity:Leisure_Outdoor;Attractivity:Leisure_Walk;Attractivity:Shopping_Daily;Attractivity:Shopping_Other;Attractivity:Private_Business;Attractivity:Private_Visit
1;140;0;0;0;40;40;10;0;0;0;0;0;0;4;0;0;0;0
2;10;0;0;0;20;0;20;0;0;0;0;0;0;0;0;0;0;0
3;10;0;0;0;10;0;20;0;0;0;0;0;0;0;0;0;0;0
4;30;0;0;10;70;140;180;0;0;0;0;0;0;2;0;0;0;0
5;20;0;0;10;20;0;0;0;0;0;0;0;0;33;0;0;0;0
6;30;0;0;0;160;80;120;0;0;0;0;0;0;3;0;0;0;0
7;20;0;0;0;10;140;100;0;0;0;0;0;0;15;0;0;0;0
8;30;0;0;0;370;70;130;0;0;0;0;0;0;0;0;0;0;0
9;40;0;0;10;10;110;50;0;0;0;0;0;0;3;0;0;0;0
10;40;0;0;0;20;60;20;0;0;0;0;0;0;9;0;0;0;0
11;20;0;0;10;0;90;50;0;0;0;0;0;0;4;0;0;0;0
12;20;0;0;10;0;0;0;0;0;0;0;0;0;6;0;0;0;0
13;50;0;0;0;140;120;140;0;0;0;0;0;0;8;0;0;0;0
14;20;0;0;0;10;40;0;0;0;0;0;0;0;4;0;0;0;0
15;30;0;0;0;80;100;50;0;0;0;0;0;0;2;0;0;0;0
16;20;0;0;10;80;180;40;0;0;0;0;0;0;11;0;0;0;0
17;0;0;0;0;0;10;20;0;0;0;0;0;0;2;0;0;0;0
18;50;0;0;10;10;10;50;0;0;0;0;0;0;3;0;0;0;0
19;10;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0
20;20;0;0;0;0;0;20;0;0;0;0;0;0;1;0;0;0;0
21;10;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0
22;10;0;0;10;0;20;10;0;0;0;0;0;0;3;0;0;0;0
23;30;0;0;0;120;60;120;0;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;0;0;10;0;0;0;0;0;0;4;0;0;0;0
25;0;0;0;0;20;20;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;20;0;0;0;0;0;0;3;0;0;0;0
27;10;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0
