BLD_PID;ADDRESS;Rooms;DZN_CODE21;CNTRD_LONG;CNTRD_LAT;zoneId
bld62da55371736;33 DUNSTAN ST, CLAYTON VIC 3168;7;215680005.0;145.11897;-37.92509;638
bldecc5e1b05637;9B HOURIGAN AV, CLAYTON VIC 3168;4;215680001.0;145.12251;-37.91726;634
bld98f2480d639d;11 MONASH PL, CLAYTON VIC 3168;4;215680004.0;145.10951;-37.92057;637
blde824ba00b7f6;13 MURDO RD, CLAYTON VIC 3168;4;215670006.0;145.14075;-37.91803;630
bld7638350ef609;9 MYRIONG ST, CLAYTON VIC 3168;3;215680001.0;145.12298;-37.91499;634
bld78404d454537;18 RENVER RD, CLAYTON VIC 3168;3;215670006.0;145.14345;-37.91867;630
bld8b77d73f407f;68 MARGARET ST, CLAYTON VIC 3168;3;215680002.0;145.1177;-37.91745;635
bldaedffba31b6c;59 ALICE ST, CLAYTON VIC 3168;3;215680002.0;145.11794;-37.91803;635
bld2bc36c1276f9;1499 CENTRE RD, CLAYTON VIC 3168;3;215680009.0;145.13143;-37.9299;642
bld5fe319d275d7;67 JAGUAR DR, CLAYTON VIC 3168;3;215680009.0;145.13126;-37.92836;642
bldaa02e5ebe353;74 SCOTSBURN AV, CLAYTON VIC 3168;3;215680004.0;145.10816;-37.92552;637
bld7ddf4470c47a;138 MORIAH ST, CLAYTON VIC 3168;2;215680009.0;145.12955;-37.92884;642
bld57d81b3e141b;47 THOMPSON ST, CLAYTON VIC 3168;3;215680002.0;145.11854;-37.91905;635
bldd942fce6448d;67 HARLINGTON ST, CLAYTON VIC 3168;3;215680004.0;145.1105;-37.92502;637
bld07c8886729ad;2015 DANDENONG RD, CLAYTON VIC 3168;12;215670005.0;145.13259;-37.91723;629
bld3f0f30e0c0bb;116 MORIAH ST, CLAYTON VIC 3168;3;215680009.0;145.12966;-37.92708;642
bldecd7b076d85c;106 CLAYTON RD, CLAYTON VIC 3168;7;215670001.0;145.12338;-37.90737;625
bldec0120921ee8;207 CLAYTON RD, CLAYTON VIC 3168;4;215680002.0;145.12121;-37.91561;635
bld59bf5d024096;113 KANOOKA GR, CLAYTON VIC 3168;3;215680006.0;145.12485;-37.92669;639
bld11f98187c9b5;6 HARLINGTON ST, CLAYTON VIC 3168;3;215680004.0;145.11196;-37.92064;637
bld31e8ecceaf16;96 ORMOND RD, CLAYTON VIC 3168;3;215680004.0;145.11177;-37.92724;637
bld434ad38666b2;29 BEDDOE AV, CLAYTON VIC 3168;3;215670004.0;145.12795;-37.90976;628
bldedc459a7d475;82 MARGARET ST, CLAYTON VIC 3168;3;215680002.0;145.11891;-37.91759;635
bld16447dacca25;17 PRINCE ST, CLAYTON VIC 3168;3;215680001.0;145.12402;-37.91706;634
bld252e815ab6c2;17 KIONGA ST, CLAYTON VIC 3168;3;215680009.0;145.13091;-37.92403;642
bld2bf6220738f3;25 MARSHALL AV, CLAYTON VIC 3168;3;215670004.0;145.12696;-37.90916;628
bld24c56e798bd8;40 MYRIONG ST, CLAYTON VIC 3168;3;215680001.0;145.12732;-37.91602;634
bldbcf0c777f42c;16 ORMOND RD, CLAYTON VIC 3168;4;215680004.0;145.11315;-37.92148;637
bld78100a704fc7;7 PANORAMA ST, CLAYTON VIC 3168;3;215680008.0;145.12964;-37.91834;641
bld1d52539e1c3d;12 BRUSHBOX CT, CLAYTON VIC 3168;3;215680008.0;145.12953;-37.92284;641
bldada396b18735;1931 DANDENONG RD, CLAYTON VIC 3168;3;215670001.0;145.12411;-37.9119;625
bldfd25e5c99969;22 HARLINGTON ST, CLAYTON VIC 3168;3;215680004.0;145.11177;-37.92174;637
bldc6297c4741b4;63 MARGARET ST, CLAYTON VIC 3168;3;215680002.0;145.11822;-37.91707;635
bld3d07f141c603;1 CAMBRO RD, CLAYTON VIC 3168;3;215670006.0;145.14209;-37.91725;630
bld5ec1c7af0dd3;36 CAMBRO RD, CLAYTON VIC 3168;4;215670006.0;145.14215;-37.91986;630
bld8fa093eff933;1504 NORTH RD, CLAYTON VIC 3168;3;215680001.0;145.12606;-37.91475;634
bld541508c9a9b9;13 BURTON AV, CLAYTON VIC 3168;3;215680005.0;145.11622;-37.92608;638
bld801101d1bfe8;23 MARY ST, CLAYTON VIC 3168;4;215680006.0;145.12114;-37.92354;639
bld0e449daa32f5;22 VIEW ST, CLAYTON VIC 3168;3;215680004.0;145.11079;-37.92154;637
bld420675853f9e;29 DENNIS ST, CLAYTON VIC 3168;3;215670005.0;145.13809;-37.91794;629
bld3de4b69e104d;88 SCOTSBURN AV, CLAYTON VIC 3168;3;215680004.0;145.10793;-37.92663;637
bld0edca07a7cf7;5 HARLINGTON ST, CLAYTON VIC 3168;7;215680004.0;145.11129;-37.92054;637
bldb80da72515ff;25 VIEW ST, CLAYTON VIC 3168;5;215680004.0;145.10973;-37.92301;637
bld069ca2da3f92;32 WELLINGTON RD, CLAYTON VIC 3168;3;215670005.0;145.13361;-37.9159;629
bld1f017fce3d3c;59 EDINBURGH ST, CLAYTON VIC 3168;4;215680002.0;145.11698;-37.91583;635
bld29fd0714220e;30 DENNIS ST, CLAYTON VIC 3168;3;215670005.0;145.13814;-37.91837;629
bldeb468bcf8cbf;17 FAULKINER ST, CLAYTON VIC 3168;3;215680005.0;145.11673;-37.9239;638
bld62f8329ea6cf;44 BROWNS RD, CLAYTON VIC 3168;4;215680008.0;145.12678;-37.92267;641
blde8003970add2;47 BEDDOE AV, CLAYTON VIC 3168;3;215670004.0;145.12777;-37.91119;628
bld370cda7f5ace;40 BROWNS RD, CLAYTON VIC 3168;3;215680008.0;145.12675;-37.92236;641
bld0f4f1536e404;25 EVA ST, CLAYTON VIC 3168;3;215680004.0;145.11354;-37.92222;637
